difficulty,total_hours,enrolled,rating,institution,Label
beginner,23.0,19751.0,4.6,HSE University,10
beginner,18.0,30184.0,4.9,Moscow Institute of Physics and Technology,0
beginner,28.0,81812.0,4.8,Moscow Institute of Physics and Technology,1
intermediate,17.0,0.0,4.7,HSE University,4
intermediate,13.0,7966.0,4.7,Saint Petersburg State University,8
intermediate,10.0,23434.0,4.8,University of Pennsylvania,2
intermediate,37.0,2345.0,4.8,Xi'an Jiaotong University,2
beginner,12.0,4192.0,4.6,National Research Tomsk State University,10
beginner,18.0,16153.0,4.8,The University of Hong Kong,1
intermediate,2.0,0.0,4.7,Coursera,3
intermediate,82.0,8780.0,4.8,Moscow Institute of Physics and Technology,2
beginner,15.0,0.0,4.7,Saint Petersburg State University,5
beginner,5.0,1978.0,4.6,"University of California, Irvine",10
intermediate,12.0,0.0,4.7,National Research Nuclear University MEPhI,4
beginner,8.0,0.0,4.7,Match Teacher Residency,5
beginner,0.0,0.0,4.7,Coursera,-1
intermediate,2.0,0.0,4.7,Coursera,3
beginner,2.0,2540.0,4.2,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),-1
beginner,20.0,5463.0,4.8,Saint Petersburg State University,1
beginner,19.0,0.0,4.3,HSE University,-1
beginner,9.0,2340.0,4.7,National Research Tomsk State University,15
advanced,9.0,0.0,4.7,Saint Petersburg State University,4
beginner,16.0,37596.0,4.8,Moscow Institute of Physics and Technology,1
beginner,10.0,4505.0,4.6,Universitat Autònoma de Barcelona,10
beginner,8.0,16990.0,4.6,University of Minnesota,10
beginner,32.0,10924.0,4.6,HSE University,10
intermediate,2.0,0.0,4.7,Coursera,3
beginner,2.0,0.0,4.7,Coursera,7
intermediate,2.0,3488.0,4.7,Coursera,9
intermediate,2.0,5719.0,4.7,Coursera,9
intermediate,77.0,14869.0,4.9,Moscow Institute of Physics and Technology,-1
beginner,300.0,0.0,4.7,Saint Petersburg State University,-1
beginner,8.0,30667.0,4.8,HSE University,1
beginner,20.0,0.0,4.7,Saint Petersburg State University,5
beginner,48.0,43974.0,4.6,Peter the Great St. Petersburg Polytechnic University,10
intermediate,14.0,2627.0,4.3,HSE University,12
beginner,10.0,2479.0,4.5,National Research Tomsk State University,13
beginner,24.0,0.0,4.7,National Research Tomsk State University,5
beginner,23.0,4837.0,4.3,Moscow Institute of Physics and Technology,14
beginner,26.0,0.0,4.7,Macquarie University,5
beginner,12.0,24066.0,4.7,Case Western Reserve University,15
beginner,17.0,40702.0,4.3,Duke University,14
intermediate,9.0,0.0,4.7,Novosibirsk State University ,4
beginner,20.0,18393.0,4.8,University of Lausanne,1
beginner,11.0,39895.0,4.6,University of California San Diego,10
beginner,4.0,2781.0,4.8,University of Michigan,1
beginner,16.0,124672.0,4.7,California Institute of the Arts,15
intermediate,19.0,2961.0,3.5,Peter the Great St. Petersburg Polytechnic University,12
beginner,5.0,9667.0,4.8,Novosibirsk State University ,1
intermediate,126.0,52203.0,4.9,Moscow Institute of Physics and Technology,-1
beginner,15.0,0.0,4.7,Saint Petersburg State University,5
beginner,18.0,0.0,4.7,National Research Tomsk State University,5
beginner,12.0,5098.0,4.9,Saint Petersburg State University,0
beginner,30.0,17732.0,4.7,HSE University,15
beginner,13.0,5125.0,4.9,National Research Tomsk State University,0
intermediate,8.0,0.0,4.7,HSE University,4
beginner,2.0,0.0,4.7,Coursera,7
beginner,19.0,12420.0,4.7,University of Cape Town,15
beginner,13.0,21223.0,4.7,Google AR & VR,15
beginner,3.0,0.0,4.8,Association of International Certified Professional Accountants,-1
intermediate,13.0,2583.0,5.0,National Research Tomsk State University,-1
beginner,9.0,12811.0,4.4,National Research Tomsk State University,14
beginner,0.0,0.0,4.7,Coursera,-1
intermediate,2.0,1750.0,4.7,Coursera,9
intermediate,8.0,0.0,4.4,Moscow Institute of Physics and Technology,-1
beginner,10.0,0.0,4.7,Saint Petersburg State University,5
beginner,8.0,0.0,4.7,University of Toronto,5
intermediate,41.0,33244.0,4.9,California Institute of the Arts,-1
intermediate,26.0,0.0,4.7,National Research Nuclear University MEPhI,4
beginner,30.0,205676.0,4.9,Stanford University,0
beginner,14.0,37387.0,4.7,Yonsei University,15
beginner,28.0,4900.0,4.9,National Research Tomsk State University,0
beginner,11.0,2558.0,4.8,National Research Tomsk State University,1
beginner,6.0,1871.0,4.7,Saint Petersburg State University,-1
beginner,9.0,0.0,4.7,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),5
intermediate,16.0,20545.0,4.5,HSE University,12
beginner,29.0,5625.0,4.6,National Research Tomsk State University,10
beginner,14.0,2446.0,4.8,Peter the Great St. Petersburg Polytechnic University,1
beginner,18.0,21087.0,4.5,Vanderbilt University,13
intermediate,24.0,14094.0,4.8,University of Illinois at Urbana-Champaign,2
beginner,9.0,34184.0,4.6,"University of California, Davis",10
intermediate,12.0,36749.0,4.8,California Institute of the Arts,2
beginner,21.0,7260.0,4.7,Peter the Great St. Petersburg Polytechnic University,15
beginner,45.0,6236.0,4.7,Coursera,15
intermediate,10.0,5581.0,4.8,Saint Petersburg State University,2
intermediate,20.0,4903.0,4.7,National Research Tomsk State University,8
beginner,6.0,2392.0,4.2,National Research Nuclear University MEPhI,14
beginner,18.0,0.0,4.7,Saint Petersburg State University,5
beginner,87.0,119154.0,4.5,HSE University,-1
intermediate,47.0,0.0,4.7,IBM,4
intermediate,22.0,3005.0,4.6,Peter the Great St. Petersburg Polytechnic University,11
intermediate,69.0,3127.0,4.5,Saint Petersburg State University,-1
beginner,14.0,0.0,4.8,National Research Nuclear University MEPhI,-1
beginner,14.0,50582.0,4.7,"University of California, Davis",15
beginner,6.0,6292.0,4.8,Wesleyan University,1
beginner,33.0,1602.0,4.9,HSE University,0
beginner,28.0,176645.0,4.9,The University of Chicago,0
intermediate,28.0,0.0,4.8,University of Michigan,-1
intermediate,23.0,31678.0,4.7,University of Illinois at Urbana-Champaign,8
beginner,17.0,33720.0,4.8,University of Michigan,1
intermediate,16.0,3652.0,4.6,HSE University,11
beginner,12.0,9493.0,4.9,National Research Nuclear University MEPhI,0
advanced,10.0,5146.0,4.6,Saint Petersburg State University,11
intermediate,22.0,0.0,4.7,HSE University,4
beginner,29.0,15887.0,4.9,Macquarie University,0
beginner,7.0,2279.0,4.2,National Research Nuclear University MEPhI,14
beginner,13.0,4392.0,4.5,HSE University,13
beginner,6.0,3445.0,4.7,National Research Tomsk State University,15
beginner,19.0,12727.0,4.2,Peter the Great St. Petersburg Polytechnic University,14
beginner,89.0,6623.0,3.9,Saint Petersburg State University,-1
intermediate,27.0,1604.0,4.1,Moscow Institute of Physics and Technology,12
beginner,21.0,0.0,4.8,Xi'an Jiaotong University,-1
beginner,24.0,113071.0,4.7,Lund University,15
beginner,12.0,0.0,5.0,Koç University,-1
beginner,14.0,1823.0,4.6,The University of Sydney,10
intermediate,12.0,0.0,4.5,EIT Digital ,-1
beginner,11.0,69121.0,4.8,National Research Nuclear University MEPhI,1
beginner,5.0,3885.0,4.7,"University of California, Irvine",15
advanced,12.0,3960.0,4.8,Saint Petersburg State University,2
beginner,8.0,0.0,4.7,Saint Petersburg State University,5
beginner,6.0,0.0,4.7,"University of California, Irvine",5
beginner,25.0,6700.0,4.7,Moscow Institute of Physics and Technology,15
beginner,8.0,5113.0,4.1,National Research Nuclear University MEPhI,14
beginner,13.0,81964.0,4.7,Commonwealth Education Trust,15
beginner,25.0,7632.0,4.8,National Research Nuclear University MEPhI,1
advanced,9.0,0.0,4.9,Saint Petersburg State University,-1
beginner,10.0,5090.0,4.9,Novosibirsk State University ,0
intermediate,12.0,0.0,4.7,Moscow Institute of Physics and Technology,4
beginner,12.0,16484.0,4.7,University of Colorado System,15
beginner,11.0,3235.0,4.6,ESSEC Business School,10
beginner,15.0,49328.0,4.8,IE Business School,1
beginner,41.0,4483.0,4.5,Saint Petersburg State University,13
intermediate,15.0,40034.0,4.7,University of Michigan,8
beginner,4.0,193888.0,4.7,University of Pennsylvania,-1
beginner,12.0,11864.0,4.8,Saint Petersburg State University,1
beginner,7.0,2099.0,3.9,Saint Petersburg State University,14
beginner,32.0,11896.0,4.6,HSE University,10
beginner,1.0,0.0,4.7,Coursera,6
beginner,2.0,28130.0,4.7,Coursera,-1
advanced,16.0,3069.0,4.7,Moscow Institute of Physics and Technology,8
beginner,21.0,20840.0,4.8,HSE University,1
beginner,56.0,103070.0,4.6,HSE University,10
beginner,9.0,0.0,4.8,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),-1
beginner,24.0,27410.0,4.9,HSE University,0
beginner,24.0,11626.0,4.6,HSE University,10
intermediate,46.0,300599.0,4.8,École Polytechnique,2
beginner,28.0,37350.0,4.6,Utrecht University,10
intermediate,17.0,11341.0,3.8,École Polytechnique,12
beginner,20.0,42205.0,4.7,University of Michigan,15
beginner,23.0,4972.0,4.7,University of Geneva,15
intermediate,1.5,5042.0,4.7,Coursera,9
beginner,11.0,39356.0,4.8,HSE University,1
beginner,17.0,19138.0,4.8,National Research Tomsk State University,1
beginner,18.0,0.0,4.7,Saint Petersburg State University,5
beginner,33.0,20196.0,4.5,HSE University,13
beginner,14.0,3726.0,4.7,Moscow Institute of Physics and Technology,15
beginner,2.0,2734.0,4.7,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),16
beginner,16.0,10299.0,4.7,University of Michigan,15
beginner,36.0,112925.0,4.7,Technical University of Denmark (DTU),-1
beginner,7.0,0.0,4.9,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),-1
beginner,37.0,0.0,4.7,HSE University,5
intermediate,23.0,11032.0,4.7,École Polytechnique Fédérale de Lausanne,8
intermediate,40.0,3735.0,4.6,HSE University,11
intermediate,2.0,0.0,4.7,Coursera,3
beginner,20.0,78123.0,4.7,University of Michigan,15
beginner,16.0,0.0,4.7,Saint Petersburg State University,5
beginner,15.0,2742.0,4.6,University of Geneva,10
intermediate,48.0,0.0,4.7,HSE University,4
intermediate,2.0,0.0,4.7,Coursera,3
intermediate,1.5,5749.0,4.7,Coursera,9
beginner,8.0,7447.0,4.5,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),13
beginner,16.0,0.0,4.7,Saint Petersburg State University,5
intermediate,14.0,0.0,4.7,National Research Tomsk State University,4
intermediate,63.0,6864.0,4.0,Peter the Great St. Petersburg Polytechnic University,12
beginner,8.0,0.0,4.8,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),-1
intermediate,20.0,8405.0,4.8,Moscow Institute of Physics and Technology,2
intermediate,22.0,2442.0,4.5,Novosibirsk State University ,12
intermediate,16.0,0.0,4.9,National Research Nuclear University MEPhI,-1
beginner,25.0,2971.0,4.3,University of Colorado Boulder,14
beginner,14.0,6774.0,4.8,University of Michigan,1
intermediate,3.0,0.0,4.8,Universitat de Barcelona,-1
beginner,14.0,12389.0,4.6,,10
intermediate,13.0,21869.0,4.7,Universidad Nacional Autónoma de México,8
beginner,12.0,4080.0,4.4,École Polytechnique Fédérale de Lausanne,14
beginner,19.0,41648.0,4.5,University of New Mexico,13
intermediate,31.0,13053.0,4.6,Moscow Institute of Physics and Technology,11
intermediate,2.0,0.0,4.7,Coursera,3
beginner,21.0,3135.0,4.8,Moscow Institute of Physics and Technology,1
beginner,22.0,3719.0,4.5,National Research Tomsk State University,13
intermediate,20.0,28975.0,4.8,Moscow Institute of Physics and Technology,2
beginner,20.0,5510.0,4.9,Saint Petersburg State University,0
beginner,30.0,33453.0,4.8,HSE University,1
beginner,27.0,0.0,4.7,Saint Petersburg State University,5
intermediate,12.0,0.0,4.7,Saint Petersburg State University,4
beginner,2.0,4243.0,4.7,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),16
beginner,5.0,0.0,4.5,University of Michigan,-1
beginner,14.0,7884.0,4.8,University of Michigan,1
beginner,22.0,3687.0,4.6,Koç University,10
beginner,3.0,0.0,4.9,University of Toronto,-1
beginner,5.0,6157.0,4.8,National Research Tomsk State University,1
beginner,15.0,0.0,4.7,University of Michigan,5
intermediate,2.0,0.0,4.7,Coursera,3
beginner,8.0,0.0,4.7,Saint Petersburg State University,5
beginner,34.0,3754.0,4.5,HSE University,13
beginner,27.0,57190.0,4.6,University of London,10
beginner,13.0,8912.0,4.3,École Polytechnique Fédérale de Lausanne,14
beginner,11.0,0.0,4.7,Saint Petersburg State University,5
beginner,8.0,0.0,4.3,SberUniversity,-1
intermediate,28.0,0.0,4.7,Saint Petersburg State University,4
intermediate,21.0,4095.0,4.7,Novosibirsk State University ,8
beginner,6.0,0.0,4.7,University of Virginia,5
intermediate,14.0,0.0,4.9,Saint Petersburg State University,-1
intermediate,33.0,2647.0,4.7,Moscow Institute of Physics and Technology,8
beginner,15.0,8329.0,4.8,HSE University,1
beginner,7.0,27014.0,4.6,Technical University of Denmark (DTU),10
beginner,7.0,6698.0,4.5,Wesleyan University,13
beginner,21.0,7936.0,4.5,Koç University,13
beginner,5.0,0.0,4.7,Google Cloud,5
beginner,15.0,0.0,4.7,University of Michigan,5
intermediate,38.0,5410.0,4.7,École Polytechnique Fédérale de Lausanne,8
beginner,24.0,1556.0,4.8,University of Colorado Boulder,1
intermediate,19.0,6214.0,4.9,National Research Tomsk State University,-1
beginner,5.0,0.0,4.9,Saint Petersburg State University,-1
beginner,5.0,0.0,4.0,Saint Petersburg State University,-1
intermediate,2.0,0.0,4.7,Coursera,3
beginner,12.0,5919.0,4.4,National Research Tomsk State University,14
intermediate,16.0,8506.0,4.7,Novosibirsk State University ,8
beginner,39.0,0.0,4.7,HSE University,5
intermediate,16.0,12067.0,4.6,Saint Petersburg State University,11
intermediate,23.0,2121.0,4.4,Moscow Institute of Physics and Technology,12
intermediate,16.0,5398.0,4.7,HSE University,8
beginner,2.0,0.0,4.7,Coursera,7
beginner,25.0,213627.0,4.8,Universidad Nacional Autónoma de México,1
beginner,5.0,0.0,4.7,Google Cloud,5
intermediate,9.0,2579.0,4.9,Erasmus University Rotterdam,-1
intermediate,13.0,34618.0,4.7,"University of Maryland, College Park",8
beginner,11.0,5545.0,4.7,École Polytechnique Fédérale de Lausanne,15
advanced,27.0,20160.0,4.7,Moscow Institute of Physics and Technology,8
beginner,12.0,5462.0,4.6,National Research Nuclear University MEPhI,10
beginner,4.0,1667.0,4.6,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),10
beginner,27.0,1596.0,4.2,National Research Nuclear University MEPhI,-1
intermediate,34.0,2258.0,5.0,HSE University,-1
intermediate,25.0,5846.0,4.5,University of Manchester   ,12
beginner,15.0,0.0,4.7,California Institute of the Arts,5
beginner,1.5,0.0,4.7,Coursera,7
intermediate,2.0,0.0,4.7,Coursera,3
beginner,6.0,5552.0,4.9,E-Learning Development Fund,0
beginner,15.0,5791.0,4.6,Peter the Great St. Petersburg Polytechnic University,10
beginner,25.0,0.0,4.7,HSE University,5
beginner,10.0,0.0,4.7,IBM,5
beginner,11.0,16041.0,4.6,The University of North Carolina at Chapel Hill,10
beginner,10.0,10718.0,4.3,Wesleyan University,14
beginner,12.0,29885.0,4.8,IESE Business School,1
beginner,5.0,0.0,4.7,Google Cloud,5
beginner,15.0,4965.0,4.6,The University of Sydney,10
beginner,9.0,13400.0,4.3,Universitat Autònoma de Barcelona,14
beginner,26.0,13822.0,4.7,University of Manchester   ,15
intermediate,30.0,0.0,4.7,Macquarie University,4
beginner,12.0,9779.0,4.6,HSE University,10
beginner,23.0,15745.0,4.8,Novosibirsk State University ,1
intermediate,65.0,11576.0,4.1,Moscow Institute of Physics and Technology,12
beginner,19.0,29143.0,4.5,HSE University,13
beginner,14.0,4956.0,4.7,National Research Tomsk State University,15
beginner,37.0,7476.0,4.8,Saint Petersburg State University,1
beginner,7.0,0.0,4.9,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),-1
beginner,35.0,8044.0,4.8,Saint Petersburg State University,1
beginner,20.0,1720.0,4.7,Saint Petersburg State University,15
beginner,8.0,8240.0,4.5,University of Colorado Boulder,13
beginner,17.0,11331.0,4.7,Rice University,15
beginner,8.0,0.0,4.7,IBM,5
beginner,5.0,0.0,4.7,Google Cloud,5
beginner,10.0,30403.0,4.6,University of Geneva,10
intermediate,2.0,0.0,4.7,Coursera,3
beginner,2.0,7110.0,4.7,Coursera,16
beginner,5.0,4585.0,4.8,Saint Petersburg State University,1
intermediate,13.0,7011.0,4.8,National Research Tomsk State University,2
intermediate,30.0,0.0,4.7,Saint Petersburg State University,4
intermediate,16.0,1572.0,4.3,Moscow Institute of Physics and Technology,12
beginner,5.0,7756.0,4.4,Saint Petersburg State University,-1
beginner,44.0,0.0,4.7,National Research Tomsk State University,5
beginner,13.0,0.0,4.7,Indian School of Business,5
beginner,27.0,5748.0,4.5,Moscow Institute of Physics and Technology,13
beginner,20.0,6319.0,4.5,Saint Petersburg State University,13
beginner,14.0,0.0,4.7,Saint Petersburg State University,5
beginner,16.0,29309.0,4.7,Michigan State University,15
beginner,20.0,73855.0,4.3,University System of Georgia,14
beginner,13.0,0.0,4.7,Pontificia Universidad Católica de Chile,5
beginner,5.0,2918.0,4.4,Google Cloud,-1
beginner,13.0,62371.0,4.8,Atlassian,1
beginner,17.0,0.0,4.7,University of Zurich,5
intermediate,19.0,3178.0,4.6,Novosibirsk State University ,11
beginner,6.0,5982.0,4.8,Saint Petersburg State University,1
beginner,24.0,5317.0,4.9,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),0
advanced,2.0,5652.0,4.7,Coursera,9
beginner,22.0,33524.0,4.8,Saint Petersburg State University,1
beginner,11.0,10422.0,4.4,Saint Petersburg State University,14
beginner,9.0,5338.0,4.9,Saint Petersburg State University,0
beginner,15.0,0.0,4.7,Saint Petersburg State University,5
beginner,20.0,0.0,4.7,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),5
beginner,15.0,0.0,4.7,National Research Nuclear University MEPhI,5
beginner,12.0,4525.0,4.9,Saint Petersburg State University,0
intermediate,14.0,0.0,4.4,LearnQuest,-1
intermediate,15.0,0.0,4.7,Universidad de los Andes,4
beginner,15.0,24896.0,4.6,Emory University,10
beginner,60.0,1535.0,4.7,Coursera,-1
intermediate,1.0,0.0,4.7,Coursera,3
beginner,0.0,0.0,4.7,Coursera,-1
intermediate,1.0,1690.0,4.7,Coursera,9
beginner,18.0,0.0,4.7,Saint Petersburg State University,5
beginner,18.0,0.0,5.0,University of Geneva,-1
beginner,12.0,16561.0,4.3,National Research Tomsk State University,14
beginner,38.0,0.0,4.7,HSE University,5
beginner,7.0,126801.0,4.6,Northwestern University,10
beginner,7.0,0.0,4.8,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),-1
beginner,10.0,0.0,4.7,Saint Petersburg State University,5
advanced,11.0,8197.0,4.8,Saint Petersburg State University,2
beginner,12.0,0.0,4.7,National Research Nuclear University MEPhI,5
beginner,8.0,0.0,4.7,Saint Petersburg State University,5
beginner,9.0,0.0,4.7,E-Learning Development Fund,5
beginner,2.0,0.0,4.7,Coursera,7
beginner,6.0,125749.0,4.4,Universitat Autònoma de Barcelona,-1
beginner,11.0,15970.0,4.7,University of Michigan,15
beginner,3.0,1893.0,4.8,École Polytechnique,1
beginner,7.0,0.0,4.9,Laureate Education,-1
intermediate,0.0,0.0,4.7,Coursera,-1
beginner,2.0,4273.0,4.7,Coursera,16
beginner,1.5,0.0,4.7,Coursera,7
intermediate,11.0,7170.0,4.5,Moscow Institute of Physics and Technology,12
intermediate,31.0,19717.0,4.7,Moscow Institute of Physics and Technology,8
beginner,17.0,23103.0,4.6,Moscow Institute of Physics and Technology,10
beginner,13.0,12399.0,4.5,National Research Tomsk State University,13
beginner,14.0,3070.0,4.8,Saint Petersburg State University,1
beginner,6.0,0.0,4.7,DeepLearning.AI,5
intermediate,9.0,4647.0,4.7,Moscow Institute of Physics and Technology,8
beginner,26.0,0.0,4.7,HSE University,5
beginner,8.0,4429.0,4.6,Saint Petersburg State University,10
beginner,11.0,6845.0,4.8,National Research Tomsk State University,1
beginner,18.0,5932.0,4.8,University of Colorado System,1
beginner,15.0,22768.0,4.8,Universidad Nacional Autónoma de México,1
intermediate,1.5,0.0,4.7,Coursera,3
beginner,32.0,10859.0,4.6,HSE University,10
beginner,23.0,6453.0,4.9,"University of California, Irvine",0
beginner,3.0,0.0,4.8,École Polytechnique,-1
beginner,8.0,0.0,4.7,National Research Nuclear University MEPhI,5
beginner,4.0,3243.0,4.7,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),15
advanced,2.0,0.0,4.7,Coursera,3
intermediate,44.0,56870.0,4.6,Moscow Institute of Physics and Technology,-1
beginner,32.0,18565.0,4.9,Moscow Institute of Physics and Technology,0
beginner,22.0,5097.0,4.8,Moscow Institute of Physics and Technology,1
beginner,12.0,0.0,4.7,Saint Petersburg State University,5
beginner,12.0,7175.0,4.3,HSE University,14
intermediate,15.0,12439.0,4.0,National Research Tomsk State University,12
intermediate,20.0,7324.0,4.3,Moscow Institute of Physics and Technology,12
intermediate,11.0,4723.0,4.8,HSE University,2
beginner,9.0,0.0,4.7,"University of California, Irvine",5
beginner,13.0,15954.0,4.8,Universidad de los Andes,1
beginner,16.0,7150.0,4.7,HSE University,15
beginner,6.0,194891.0,4.6,University of London,10
intermediate,2.0,0.0,4.7,Coursera,3
beginner,18.0,2585.0,4.9,SAS,0
beginner,7.0,21009.0,4.6,Laureate Education,10
beginner,6.0,6691.0,4.9,Icahn School of Medicine at Mount Sinai,0
intermediate,25.0,85789.0,4.8,"University of California, Irvine",2
beginner,13.0,0.0,4.7,Saint Petersburg State University,5
beginner,18.0,0.0,4.7,Macquarie University,5
intermediate,16.0,0.0,4.7,Saint Petersburg State University,4
beginner,7.0,0.0,4.7,National Research Nuclear University MEPhI,5
beginner,27.0,8744.0,4.9,HSE University,0
beginner,19.0,15972.0,4.6,Moscow Institute of Physics and Technology,10
intermediate,19.0,10231.0,4.6,Moscow Institute of Physics and Technology,11
beginner,12.0,2344.0,4.9,Novosibirsk State University ,0
intermediate,14.0,8332.0,4.6,HSE University,11
beginner,2.0,25641.0,4.7,Coursera,-1
beginner,127.0,46759.0,4.1,Michigan State University,-1
beginner,16.0,49117.0,4.7,Universidad de los Andes,15
beginner,7.0,2901.0,4.6,Moscow Institute of Physics and Technology,10
beginner,4.0,2396.0,4.6,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),10
beginner,10.0,407083.0,4.7,IBM,-1
intermediate,9.0,9129.0,4.7,Novosibirsk State University ,8
beginner,26.0,2400.0,4.7,Moscow Institute of Physics and Technology,15
beginner,23.0,32924.0,4.8,HSE University,1
beginner,23.0,0.0,4.7,E-Learning Development Fund,5
advanced,28.0,0.0,4.7,Saint Petersburg State University,4
beginner,7.0,6010.0,4.7,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),15
beginner,8.0,6091.0,4.5,Saint Petersburg State University,13
beginner,21.0,5845.0,4.9,Moscow Institute of Physics and Technology,0
beginner,5.0,0.0,4.2,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),-1
beginner,12.0,6692.0,4.9,University of Pennsylvania,0
beginner,14.0,633415.0,4.8,Georgia Institute of Technology,1
beginner,18.0,24964.0,4.8,Universidad de los Andes,1
intermediate,46.0,3111.0,4.9,HSE University,-1
intermediate,18.0,1593.0,4.7,HSE University,8
beginner,20.0,12456.0,4.3,HSE University,14
beginner,34.0,19052.0,4.6,Moscow Institute of Physics and Technology,10
beginner,31.0,2825.0,4.5,Saint Petersburg State University,13
beginner,28.0,4839.0,5.0,Saint Petersburg State University,-1
beginner,15.0,0.0,4.7,National Research Nuclear University MEPhI,5
intermediate,11.0,0.0,4.7,Saint Petersburg State University,4
beginner,15.0,4045.0,4.9,Moscow Institute of Physics and Technology,0
beginner,32.0,4388.0,4.9,Novosibirsk State University ,0
intermediate,22.0,0.0,4.7,IBM,4
beginner,34.0,24245.0,4.9,Novosibirsk State University ,0
beginner,11.0,11304.0,4.8,University of Pennsylvania,1
beginner,6.0,0.0,4.8,University of Colorado Boulder,-1
beginner,15.0,32221.0,4.9,National University of Singapore,0
beginner,93.0,27266.0,4.6,Michigan State University,10
beginner,45.0,9844.0,4.5,Universidad de Chile,13
beginner,9.0,1811.0,4.1,Saint Petersburg State University,14
beginner,24.0,0.0,4.7,Saint Petersburg State University,5
beginner,12.0,2751.0,4.8,National Research Tomsk State University,1
beginner,19.0,0.0,4.7,Saint Petersburg State University,5
intermediate,8.0,9133.0,4.1,National Research Tomsk State University,12
beginner,22.0,26342.0,4.7,Saint Petersburg State University,15
intermediate,20.0,6865.0,4.7,HSE University,8
intermediate,18.0,5370.0,4.3,Saint Petersburg State University,12
beginner,8.0,0.0,4.7,National Research Tomsk State University,5
beginner,18.0,3195.0,4.9,HSE University,0
intermediate,11.0,1607.0,4.9,Moscow Institute of Physics and Technology,-1
intermediate,27.0,12302.0,4.6,Moscow Institute of Physics and Technology,11
beginner,21.0,25021.0,4.8,National Research Tomsk State University,1
beginner,24.0,51891.0,4.8,HSE University,1
beginner,14.0,0.0,4.7,National Research Nuclear University MEPhI,5
beginner,5.0,23689.0,4.7,Stanford University,15
intermediate,11.0,7666.0,4.5,Imperial College London,12
beginner,9.0,8984.0,4.7,University at Buffalo,15
beginner,18.0,10083.0,4.6,University of Toronto,10
beginner,19.0,8329.0,4.7,Copenhagen Business School,15
beginner,13.0,11704.0,4.7,University of Colorado Boulder,15
intermediate,19.0,33923.0,4.6,Moscow Institute of Physics and Technology,11
beginner,20.0,36040.0,4.8,University of Illinois at Urbana-Champaign,1
beginner,17.0,0.0,4.7,University of Michigan,5
beginner,5.0,11726.0,4.8,Universidad Nacional Autónoma de México,1
beginner,6.0,6118.0,4.7,University of Pennsylvania,15
intermediate,11.0,0.0,4.7,CertNexus,4
beginner,34.0,1515.0,4.9,Cresça com o Google,0
beginner,16.0,2194.0,4.8,(ISC)²,1
beginner,11.0,16803.0,4.8,Universidad Nacional Autónoma de México,1
intermediate,2.0,1613.0,4.7,Coursera,9
beginner,2.0,4044.0,4.6,(ISC)²,-1
intermediate,47.0,93968.0,4.9,,-1
beginner,6.0,2424.0,4.6,Emory University,10
intermediate,17.0,5846.0,4.7,The State University of New York,8
intermediate,14.0,0.0,4.4,Google Cloud,-1
beginner,5.0,9740.0,4.5,Emory University,13
intermediate,1.0,2575.0,4.7,Coursera,9
beginner,24.0,656465.0,4.8,Google,1
advanced,16.0,5256.0,4.7,LearnQuest,8
beginner,5.0,0.0,4.8,University of Colorado Boulder,-1
beginner,15.0,34663.0,4.5,The State University of New York,13
beginner,31.0,46914.0,4.5,University of Illinois at Urbana-Champaign,-1
beginner,7.0,518542.0,4.7,Stanford University,-1
beginner,11.0,26570.0,4.8,The University of Tokyo,1
beginner,12.0,18262.0,4.8,Universiteit Leiden,1
intermediate,15.0,0.0,4.7,Google Cloud,4
beginner,12.0,12859.0,4.5,Berklee College of Music,13
intermediate,13.0,3132.0,4.7,University at Buffalo,8
intermediate,21.0,0.0,4.7,University of Michigan,4
beginner,16.0,4501.0,4.7,,15
beginner,14.0,0.0,4.7,University of Michigan,5
intermediate,1.0,0.0,4.7,Coursera,3
beginner,10.0,115837.0,4.7,University of Colorado Boulder,15
beginner,7.0,7925.0,4.7,Erasmus University Rotterdam,15
beginner,8.0,0.0,4.4,EIT Digital ,-1
